tW,xx,xy,xz,xi,yx,yy,yz,yi,zx,zy,zz,zi,ix,iy,iz,ii
t,xx,xy,xz,xi,yx,yy,yz,yi,zx,zy,zz,zi,ix,iy,iz,ii
611.0,0.0,-0.0767116772641,0.0,0.0,0.0767116772641,0.0,0.0,0.0,0.0,0.0,0.529349810661,0.744916359552,0.0,0.0,0.784433451109,1.0
612.0,0.0,-0.0772802994565,0.0,0.0,0.0772802994565,0.0,0.0,0.0,0.0,0.0,0.530464602365,0.750065232328,0.0,0.0,0.780399370037,1.0
613.0,0.0,-0.0775765625966,0.0,0.0,0.0775765625966,0.0,0.0,0.0,0.0,0.0,0.531575486906,0.75522651631,0.0,0.0,0.776348970596,1.0
614.0,0.0,-0.077601701015,0.0,0.0,0.077601701015,0.0,0.0,0.0,0.0,0.0,0.532682471741,0.760384257508,0.0,0.0,0.772298214233,1.0
615.0,0.0,-0.0773578712012,0.0,0.0,0.0773578712012,0.0,0.0,0.0,0.0,0.0,0.53378556873,0.765522641359,0.0,0.0,0.76826292737,1.0
616.0,0.0,-0.0768481367739,0.0,0.0,0.0768481367739,0.0,0.0,0.0,0.0,0.0,0.534884794071,0.770626045972,0.0,0.0,0.764258748099,1.0
617.0,0.0,-0.0760764504569,0.0,0.0,0.0760764504569,0.0,0.0,0.0,0.0,0.0,0.535980168237,0.775679094266,0.0,0.0,0.760301073971,1.0
618.0,0.0,-0.0750476331451,0.0,0.0,0.0750476331451,0.0,0.0,0.0,0.0,0.0,0.537071715887,0.780666704842,0.0,0.0,0.756405011045,1.0
619.0,0.0,-0.0737673501586,0.0,0.0,0.0737673501586,0.0,0.0,0.0,0.0,0.0,0.538159465768,0.785574141412,0.0,0.0,0.752585324356,1.0
620.0,0.0,-0.0722420847889,0.0,0.0,0.0722420847889,0.0,0.0,0.0,0.0,0.0,0.539243450605,0.79038706064,0.0,0.0,0.748856389965,1.0
621.0,0.0,-0.0704791092502,0.0,0.0,0.0704791092502,0.0,0.0,0.0,0.0,0.0,0.540323706976,0.795091558232,0.0,0.0,0.745232148744,1.0
622.0,0.0,-0.0684864531582,0.0,0.0,0.0684864531582,0.0,0.0,0.0,0.0,0.0,0.541400275174,0.799674213134,0.0,0.0,0.74172606204,1.0
623.0,0.0,-0.0662728696638,0.0,0.0,0.0662728696638,0.0,0.0,0.0,0.0,0.0,0.542473199059,0.804122129706,0.0,0.0,0.738351069353,1.0
624.0,0.0,-0.0638477993788,0.0,0.0,0.0638477993788,0.0,0.0,0.0,0.0,0.0,0.543542525899,0.808422977746,0.0,0.0,0.735119548153,1.0
625.0,0.0,-0.0612213322353,0.0,0.0,0.0612213322353,0.0,0.0,0.0,0.0,0.0,0.5446083062,0.812565030226,0.0,0.0,0.732043275974,1.0
626.0,0.0,-0.0584041674266,0.0,0.0,0.0584041674266,0.0,0.0,0.0,0.0,0.0,0.545670593526,0.816537198657,0.0,0.0,0.729133394869,1.0
627.0,0.0,-0.0554075715845,0.0,0.0,0.0554075715845,0.0,0.0,0.0,0.0,0.0,0.546729444309,0.820329065955,0.0,0.0,0.726400378354,1.0
628.0,0.0,-0.0522433353499,0.0,0.0,0.0522433353499,0.0,0.0,0.0,0.0,0.0,0.547784917654,0.823930916733,0.0,0.0,0.723854000921,1.0
629.0,0.0,-0.0489237284998,0.0,0.0,0.0489237284998,0.0,0.0,0.0,0.0,0.0,0.548837075133,0.827333764925,0.0,0.0,0.721503310208,1.0
630.0,0.0,-0.045461453798,0.0,0.0,0.045461453798,0.0,0.0,0.0,0.0,0.0,0.549885980572,0.830529378681,0.0,0.0,0.719356601891,1.0
631.0,0.0,-0.041869599737,0.0,0.0,0.041869599737,0.0,0.0,0.0,0.0,0.0,0.550931699835,0.833510302455,0.0,0.0,0.717421397381,1.0
632.0,0.0,-0.0381615923439,0.0,0.0,0.0381615923439,0.0,0.0,0.0,0.0,0.0,0.551974300602,0.836269876244,0.0,0.0,0.715704424358,1.0
633.0,0.0,-0.0343511462235,0.0,0.0,0.0343511462235,0.0,0.0,0.0,0.0,0.0,0.553013852138,0.838802251938,0.0,0.0,0.7142116002,1.0
634.0,0.0,-0.0304522150128,0.0,0.0,0.0304522150128,0.0,0.0,0.0,0.0,0.0,0.554050425064,0.84110240673,0.0,0.0,0.712948018334,1.0
635.0,0.0,-0.0264789414238,0.0,0.0,0.0264789414238,0.0,0.0,0.0,0.0,0.0,0.555084091127,0.843166153593,0.0,0.0,0.711917937533,1.0
636.0,0.0,-0.0224456070466,0.0,0.0,0.0224456070466,0.0,0.0,0.0,0.0,0.0,0.556114922954,0.844990148782,0.0,0.0,0.711124774172,1.0
637.0,0.0,-0.0183665820911,0.0,0.0,0.0183665820911,0.0,0.0,0.0,0.0,0.0,0.557142993827,0.846571896384,0.0,0.0,0.710571097443,1.0
638.0,0.0,-0.0142562752381,0.0,0.0,0.0142562752381,0.0,0.0,0.0,0.0,0.0,0.558168377437,0.84790974991,0.0,0.0,0.710258627527,1.0
639.0,0.0,-0.0101290837722,0.0,0.0,0.0101290837722,0.0,0.0,0.0,0.0,0.0,0.559191147651,0.849002910954,0.0,0.0,0.710188236697,1.0
640.0,0.0,-0.00599934416554,0.0,0.0,0.00599934416554,0.0,0.0,0.0,0.0,0.0,0.560211378275,0.849851424948,0.0,0.0,0.710359953327,1.0
641.0,0.0,-0.00188128327886,0.0,0.0,0.00188128327886,0.0,0.0,0.0,0.0,0.0,0.561229142822,0.850456174047,0.0,0.0,0.710772968775,1.0
642.0,0.0,0.00221102965763,0.0,0.0,-0.00221102965763,0.0,0.0,0.0,0.0,0.0,0.56224451428,0.850818867199,0.0,0.0,0.711425647082,1.0
643.0,0.0,0.00626373012506,0.0,0.0,-0.00626373012506,0.0,0.0,0.0,0.0,0.0,0.563257564888,0.850942027449,0.0,0.0,0.712315537439,1.0
644.0,0.0,0.0102632043038,0.0,0.0,-0.0102632043038,0.0,0.0,0.0,0.0,0.0,0.564268365907,0.850828976556,0.0,0.0,0.713439389352,1.0
645.0,0.0,0.0141961338198,0.0,0.0,-0.0141961338198,0.0,0.0,0.0,0.0,0.0,0.565276987412,0.85048381698,0.0,0.0,0.714793170433,1.0
646.0,0.0,0.0180495391052,0.0,0.0,-0.0180495391052,0.0,0.0,0.0,0.0,0.0,0.566283498073,0.849911411343,0.0,0.0,0.71637208673,1.0
647.0,0.0,0.021810821236,0.0,0.0,-0.021810821236,0.0,0.0,0.0,0.0,0.0,0.567287964952,0.849117359438,0.0,0.0,0.718170605514,1.0
648.0,0.0,0.0254678021155,0.0,0.0,-0.0254678021155,0.0,0.0,0.0,0.0,0.0,0.568290453307,0.848107972897,0.0,0.0,0.72018248041,1.0
649.0,0.0,0.0290087628785,0.0,0.0,-0.0290087628785,0.0,0.0,0.0,0.0,0.0,0.569291026402,0.846890247619,0.0,0.0,0.722400778783,1.0
650.0,0.0,0.0324224803995,0.0,0.0,-0.0324224803995,0.0,0.0,0.0,0.0,0.0,0.570289745321,0.845471834071,0.0,0.0,0.72481791125,1.0
651.0,0.0,0.0356982617943,0.0,0.0,-0.0356982617943,0.0,0.0,0.0,0.0,0.0,0.571286668803,0.843861005587,0.0,0.0,0.727425663216,1.0
652.0,0.0,0.0388259768137,0.0,0.0,-0.0388259768137,0.0,0.0,0.0,0.0,0.0,0.572281853071,0.842066624782,0.0,0.0,0.730215228289,1.0
653.0,0.0,0.0417960880349,0.0,0.0,-0.0417960880349,0.0,0.0,0.0,0.0,0.0,0.573275351683,0.84009810822,0.0,0.0,0.733177243463,1.0
